report_date,online_store,upc,retailer_product_code,brand,category,sub_category,product_description,review_date,review_rating,review_title,review_text,is_competitor,manufacturer,market,matched_keywords,time_of_publication,url,review_type,parent_review,manufacturers_response,dimension1,dimension2,dimension3,dimension4,dimension5,dimension6,dimension7,dimension8,verified_purchase,helpful_review_count,review_hash_id
1/7/2019,FRESHAMAZON,8.71257E+12,B014G2LG1E,Knorr,Foods,Savoury,Knorr  Rich Beef Stock Pot 8 x 28g,1/6/2019,5,Good,Thank you I’m very happy,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/RWYZ6NCYKC5LN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014G2LG1E,Organic,Parent,,Savoury,Beef Stock/Pots/Cubes/Extract/Liquid/Concentrated,Beef Stock Pots,,,,Beef Stock Pots,Core of the Core,TRUE,0,0127693e-81e3-8b54-ab3a-b940fa5f130c
1/8/2019,FRESHAMAZON,8.71811E+12,B0151I60Z4,Dove Men+Care,Personal Care,Deodorants & Fragrances,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,1/7/2019,5,Deodorant,Beautiful,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R3KJWI2RIIGQRF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0151I60Z4,Organic,Parent,,Deodorants & Fragrances,Male Anti-Perspirant Deodorant,COTC Male Anti-Perspirant Deodorant,,,,COTC Male Anti-Perspirant Deodorant,Core of the Core,TRUE,0,f501fd40-8d6a-2c48-6b19-e7d0ea3c0313
1/10/2019,FRESHAMAZON,5.01225E+12,B014G2Y57G,TRESemmé,Personal Care,Hair,Tresemme Moisture Rich Conditioner 900ml,1/9/2019,5,Repeat purchase,Always buy. Big bottles,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R2PV2EG29NC7PI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014G2Y57G,Organic,Child,,Hair,Women General Cleanse Conditioner,COTC Conditioner Moisture,,,,COTC Conditioner Moisture,Core of the Core,TRUE,0,b39144df-446a-ecfe-f68c-6c12b54d986c
1/12/2019,AMAZON,8.71716E+12,B004PU04CA,Cif,Homecare,Household Care,Cif Citrus Bathroom Mousse 500ml,1/2/2019,5,Very handy,Does what is says it does,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/RJ16077YDXIB0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B004PU04CA,Organic,Child,,Household Care,Cleaning Spray,Bathroom Mousse,,,,,Core of the Core,FALSE,0,128ca601-6ae2-91c6-967c-b03fdf8a4ada
1/12/2019,AMAZON,5.01225E+12,B00OQ84AW6,TRESemmé,Personal Care,Hair,Tresemme Silky Smooth Conditioner 900ml,1/2/2019,5,Excellent on my badly treated hair,Always use this product on my heavily mistreated hair and it works wonders time after time,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/RNZ1S4T92YDE1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00OQ84AW6,Organic,Child,,Hair,Women General Cleanse Conditioner,Smooth conditioner,,,,Smooth conditioner,Core of the Core,TRUE,0,ff4b9386-5ed4-2c12-aead-80eb3f8038c1
1/13/2019,FRESHAMAZON,5.00019E+12,B014G50572,Domestos,Homecare,Household Care,Domestos  Original Bleach 750ml,1/12/2019,5,Recommend,Great value,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R1K8WYKLTAFQIQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014G50572,Organic,Parent,,Household Care,Bleach,COTC Bleach,,,,COTC Bleach,Core of the Core,TRUE,0,571fa100-893e-75d8-66fe-c1683447c8b6
1/14/2019,AMAZONPRIMEPANTRY,5.01225E+12,B0142CIRB0,TRESemmé,Personal Care,Hair,Tresemme Silky Smooth Conditioner 900ml,1/2/2019,5,Excellent on my badly treated hair,Always use this product on my heavily mistreated hair and it works wonders time after time,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/RNZ1S4T92YDE1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0142CIRB0,Organic,Parent,,Hair,Women General Cleanse Conditioner,Smooth conditioner,,,,Smooth conditioner,Core of the Core,TRUE,0,180fe049-7a09-596d-ac1f-15a1cdb3404c
1/14/2019,FRESHAMAZON,8.71811E+12,B014G2WPGY,Dove,Personal Care,Hair,Dove Nutritive Solutions Daily Moisture Shampoo 250ml,1/13/2019,5,Happy,"It’s not the one in the picture, but gets 5 stars because it’s the regular one I use and it’s awesome for people with dry skin.",0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R10M58FSAGFO7H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014G2WPGY,Organic,Parent,,Hair,moisture shampoo,Moisture shampoo,,,,Moisture shampoo,Core of the Core,TRUE,0,42f79800-570c-005a-8996-16395c8fdeb7
1/12/2019,FRESHAMAZON,8.71256E+12,B014G35AW4,Vaseline,Personal Care,Skin Care,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,1/11/2019,5,Really works,"Item as described, excellent quality, rapid delivery Great for skin irritations, redness, blemishes",0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R1E9PTSOYPGLB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014G35AW4,Organic,Parent,,Skin Care,Body Lotion,Vaseline Body Lotion,,,,Vaseline Body Lotion,Core of the Core,TRUE,0,593655f6-5d85-b861-de36-bdb1307c69c0
1/15/2019,FRESHAMAZON,8.71256E+12,B017GS8KEQ,Dove,Personal Care,Skin Cleansing,Dove  Gentle Exfoliating Body wash 250ml,1/14/2019,5,Lovely,Good body wash but not a very strong smell,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R34DJMY205V7TC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017GS8KEQ,Organic,Parent,,Skin Cleansing,Body Wash,body wash,,,,body wash,Core of the Core,TRUE,0,cb220490-1627-5ca5-b75b-18508d279b5c
1/17/2019,FRESHAMAZON,8.71811E+12,B014G2WPGY,Dove,Personal Care,Hair,Dove Nutritive Solutions Daily Moisture Shampoo 250ml,1/16/2019,5,Toiletries,Great,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R2KHGU55A2VDDZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014G2WPGY,Organic,Parent,,Hair,moisture shampoo,Moisture shampoo,,,,non-Retailer Core of the Core,Core of the Core,TRUE,0,fb794630-6f9a-d9b1-564a-966fb31808e9
1/17/2019,FRESHAMAZON,8.71256E+12,B017GS8KEQ,Dove,Personal Care,Skin Cleansing,Dove  Gentle Exfoliating Body wash 250ml,1/16/2019,5,Toiletries,Great,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R151L1MK3I38N9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017GS8KEQ,Organic,Parent,,Skin Cleansing,Body Wash,body wash,,,,non-Retailer Core of the Core,Core of the Core,TRUE,0,2427b4d7-5c0a-98ea-3b02-1c1d48d6db9b
1/20/2019,FRESHAMAZON,8.7121E+12,B018M7GERK,PG tips,Refreshment,Tea and Soy & Fruit Beverages,PG tips  Original Tea Bags 240,1/19/2019,5,More for your money!,Worth it!,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/RCSQWZPPI50UE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B018M7GERK,Organic,Child,,Tea and Soy & Fruit Beverages,Black Tea,Black Tea,,,,non-Retailer Core of the Core,Core of the Core,TRUE,0,9f68aa17-6442-b4a0-8b36-8d7e1de7204a
1/22/2019,OCADO,7.87211E+11,15093011,Badedas,Personal Care,Skin Cleansing,Badedas  Original Bath 750ml,1/20/2019,5,Superb,I remember trying this at a friends house years ago. Now Ive been using it for about 3-months and its the only one Ill buy.,0,Unilever Global,UK,,,,Organic,Parent,,Skin Cleansing,Bath Gel,Bath Gel,,,,non-Retailer Core of the Core,Core of the Core,FALSE,0,570a60c5-31b1-8627-6a08-7fa3d5f02360
1/23/2019,AMAZONPRIMEPANTRY,8.71256E+12,B06VVP78MF,Comfort,Homecare,Laundry,Comfort  Blue Skies Fabric Conditioner 114 Wash 4L,1/3/2019,5,Great,Great,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/R31EW8SM91D856/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B06VVP78MF,Organic,Parent,,Laundry,COTC Fabric Conditioner,Blue Fabric Conditioner,,,,non-Retailer Core of the Core,Core of the Core,TRUE,0,fe99a0b7-ace9-444a-d392-2d465fd4c0f0
1/23/2019,FRESHAMAZON,8.71811E+12,B0151I60Z4,Dove Men+Care,Personal Care,Deos,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,1/22/2019,3,Pay a little more for a better antiperspirant,Not the best antiperspirant out there unless you like going to work with a snow drift under your arm.,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R25Q8RNATO5H1J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0151I60Z4,Organic,Parent,,Deos,Male Anti-Perspirant Deodorant,COTC Male Anti-Perspirant Deodorant,,,,non-Retailer Core of the Core,Core of the Core,TRUE,0,28fb0e5f-0455-62e9-7f47-d62dd4b27f07
1/23/2019,FRESHAMAZON,8.71811E+12,B0151I60Z4,Dove Men+Care,Personal Care,Deos,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,1/22/2019,5,Smells lovely,Love this product,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R2URUPBS6G6Y0W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0151I60Z4,Organic,Parent,,Deos,Male Anti-Perspirant Deodorant,COTC Male Anti-Perspirant Deodorant,,,,non-Retailer Core of the Core,Core of the Core,TRUE,0,06f5f7e1-3367-83e7-3b4c-202bf2c1a8f8
1/23/2019,ASDA,8.7121E+12,5411116,Magnum,Refreshment,Ice Cream,Magnum Almond Ice Cream 4 x 100ml,1/22/2019,5,Addicted,If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,0,Unilever Global,UK,,,,Organic,Parent,,Ice Cream,Magnum,COTC Magnum,,,,COTC Magnum,Core of the Core,FALSE,0,e9d0bd96-ade2-1439-1a81-11aa75f723ee
1/26/2019,ASDA,8.71256E+12,4820843,Vaseline,Personal Care,Skin Care,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,1/25/2019,5,Beautifully Moisturising,"I love this range of body lotions as they aren\u2019t greasy, are easy to apply and soak in quickly and leave my skin feeling super soft and moisturised. Great value for money and the scent is fresh and light, a great go to beauty essential in my bathroom cupboard. [This review was collected as part of a promotion.]",0,Unilever Global,UK,,,,Organic,Parent,,Skin Care,Body Lotion,Vaseline Body Lotion,,,,Vaseline Body Lotion,Core of the Core,FALSE,0,46849d86-b1d3-a736-8d1b-19610cea1e90
1/27/2019,ASDA,8.71256E+12,4820843,Vaseline,Personal Care,Skin Care,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,1/26/2019,5,A miracle in a bottle! Absolutely love this product!,"I suffer with dry sensitive skin and vaseline is one of very few products that doesn't make my skin flare up and itch like crazy!The first thing I noticed was the beautiful fresh smell that escaped as I lifted the cap, as I applied a drop to my skin I instantly felt a soothing relief and easily moisturised into my skin absorbing effortlessly and not at all greasy unlike alot of other moisturisers I've tried! I use this product every day and it has improved my dry skin condition massively couldn't recommend this product enough I absolutely love it! [This review was collected as part of a promotion.]",0,Unilever Global,UK,,,,Organic,Parent,,Skin Care,Body Lotion,Vaseline Body Lotion,,,,Vaseline Body Lotion,Core of the Core,FALSE,0,98827d65-628c-07f8-c061-87fab10597b3
1/28/2019,AMAZONPRIMEPANTRY,8.71045E+12,B06WVL72Z9,Surf,Homecare,Laundry,Surf  Tropical Lily Washing Liquid 85 Wash 3L,1/3/2019,5,"Lingering, comforting smell and cleans really well",Absolutely love this stuff ... leaves a lovely lingering fragrance that you can smell each time you open a wardrobe or clothes drawer ... gets everything clean really well too Reminds me of when I was a kid and Mum just put me in some freshly laundered clothes ... lovely,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/R3NFM39HIEACW6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B06WVL72Z9,Organic,Parent,,Laundry,COTC Washing Liquid,n/a,,,,Retailer Core of the Core,Core of the Core,TRUE,0,6fc53d5d-3e7b-58bb-f06f-1c44905c467b
1/28/2019,AMAZONPRIMEPANTRY,8.71045E+12,B06WVL72Z9,Surf,Homecare,Laundry,Surf  Tropical Lily Washing Liquid 85 Wash 3L,1/4/2019,5,Very happy with it,Very happy with it,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/R11LDP1EKHGWSP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B06WVL72Z9,Organic,Parent,,Laundry,COTC Washing Liquid,n/a,,,,Retailer Core of the Core,Core of the Core,TRUE,0,c88e50e9-3acf-6de4-9266-c4cbb5f06036
1/29/2019,FRESHAMAZON,5.00019E+12,B017VWDSAS,Persil,Homecare,Laundry,Persil  Silk and Wool Washing Liquid 15 Wash 750ml,1/28/2019,5,Perfect for cashmere sweaters and silk tops,I love that I now wash my cashmere sweaters at home. Saves me a lot of money compared to taking my clothes to the dry-cleaners every week. Very happy with my purchase,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/RHB5ZURGVMZ1K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017VWDSAS,Organic,Parent,,Laundry,COTC Washing Liquid,Silk & Wool Washing Liquid,,,,non-Retailer Core of the Core,Core of the Core,TRUE,0,9426bc7b-4c9b-7b12-22d0-138cf8bb577c
1/29/2019,ASDA,8.71256E+12,4820843,Vaseline,Personal Care,Skin Care,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,1/28/2019,5,Skin so soft.. highly recommend!,So prior to receiving this I had pretty rough elbows in particular and my skin feels dry. As a busy mum of two I admit I sometimes neglect myself.. some of you may empathise! But this product trial gave me the perfect opportunity to reconnect with myself and have a bit of \u201Cme time\u201D. So for 3 days after my baths / shower I smothered myself with this. I must admit the first time I put this on I wasn\u2019t sure about the smell. It\u2019s not offensive it\u2019s like a cucumber smell (although it\u2019s aloe) but I tend to smell of perfumes all the time.. however by day 3 I actually liked the smell. Application: it went on nicely not too thick and soaked in pretty quickly it didn\u2019t feel sticky. I always have my morning wash by 07:30 but even in the evening before bedtime my skin is feeling noticibly softer and my rough elbows gone. Verdict: thumbs up. Yes I will be continuing to use this thank you for a fab product trial and for introducing me to Vaseline Aloe! [This review was collected as part of a promotion.],0,Unilever Global,UK,,,,Organic,Parent,,Skin Care,Body Lotion,Vaseline Body Lotion,,,,Vaseline Body Lotion,Core of the Core,FALSE,0,05b99e52-37b5-bb8e-9380-19617c9304f7
1/30/2019,AMAZON,8.7116E+12,B00P7PFDDM,Lynx,Personal Care,Deos,Lynx Africa Body Spray Deodorant Aerosol 200ml,1/14/2019,5,"As described, quick delivery",Happy with item,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/R34NM6LXJL7BVY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00P7PFDDM,Organic,Parent,,Deos,Male Body Spray,COTC Male Body Spray,,,,Retailer Core of the Core,Core of the Core,TRUE,0,f1407676-8039-cce6-ac76-e3939aaa9c19
1/29/2019,SAINSBURYS,8.71091E+12,7883548,Simple,Personal Care,Skin Care,Simple Water Boost Skin Quench Sleeping Cream 50ml,1/1/2019,5,Light as a feather,"I really like this. The texture is almost like a gel so it's really light and easily absorbed into my skin, leaving it feel soft and fresh, without any of the weight that some thicker creams have.I would buy it again. [This review was collected as part of a promotion.]",0,Unilever Global,UK,,,https://www.sainsburys.co.uk/shop/gb/groceries/simple-moisturiser-hydrating-skin-50ml#reviews,Syndicated,Parent,,Skin Care,Face Moisturisers,COTC Face Moisturisers,,,,non-Retailer Core of the Core,Core of the Core,FALSE,0,1792d229-5fe0-71b5-6f26-07a38c9fbf1b
1/31/2019,FRESHAMAZON,8.71091E+12,B01B4FMP2A,Alberto Balsam,Personal Care,Hair Care,Alberto Balsam  Coconut & Lychee Shampoo 350ml,1/30/2019,5,Good,Smells nice,0,Unilever Global,UK,,,http://www.amazon.co.uk/gp/customer-reviews/R25QUKJQC7DZKZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01B4FMP2A,Organic,Parent,,Hair Care,Family shampoo,Family shampoo,,,,non-Retailer Core of the Core,Core of the Core,TRUE,0,926e591b-f53c-b345-536e-d3e40131627a
1/31/2019,AMAZONPRIMEPANTRY,5.01225E+12,B004K557YU,TRESemmé,Personal Care,Hair Care,Tresemme  Cleanse & Replenish Shampoo 900ml,1/1/2019,5,Great.,A great deal on treseme shampoo giving a long lasting supply so you don’t need to keep buying more and very good price.,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/R69HBA1V58XK2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B004K557YU,Organic,Child,,Hair Care,Women General Cleanse shampoo,COTC Shampoo Cleanse,,,,Retailer Core of the Core,Core of the Core,TRUE,0,111fdb8e-e448-a055-42c4-c502418857ee
1/31/2019,AMAZONPRIMEPANTRY,8.7116E+12,B0142CI67A,Lynx,Personal Care,Deos,Lynx Africa Body Spray Deodorant Aerosol 200ml,1/14/2019,5,"As described, quick delivery",Happy with item,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/R34NM6LXJL7BVY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0142CI67A,Organic,Child,,Deos,Male Body Spray,COTC Male Body Spray,,,,Retailer Core of the Core,Core of the Core,TRUE,0,5ddb51d8-d3a4-737b-2f02-001591f4bcee
1/31/2019,AMAZONPRIMEPANTRY,8.71811E+12,B0142CI6FC,Dove Men+Care,Personal Care,Deos,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,1/1/2019,5,Dove Men’s + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/REVTAVYK1SJMZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0142CI6FC,Organic,Child,,Deos,Male Anti-Perspirant Deodorant,COTC Male Anti-Perspirant Deodorant,,,,Retailer Core of the Core,Core of the Core,TRUE,0,226c89bb-fc4c-e287-bd31-1133dab3c8e7
1/31/2019,AMAZONPRIMEPANTRY,8.71811E+12,B015J4NK1C,Comfort,Homecare,Laundry,Comfort  Sunshiny days Fabric Conditioner 85 Wash 3L,1/2/2019,5,Lenor,Great value,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/R1UQ1VCJAE8M0O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B015J4NK1C,Organic,Parent,,Laundry,COTC Fabric Conditioner,Fabric Conditioner,,,,non-Retailer Core of the Core,Core of the Core,TRUE,0,6e679595-4a3c-befd-fbdf-6daa5b960266
1/31/2019,AMAZONPRIMEPANTRY,8.71811E+12,B015J4NK1C,Comfort,Homecare,Laundry,Comfort  Sunshiny days Fabric Conditioner 85 Wash 3L,1/4/2019,5,Great price delivered to your door,Love this comfort,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/R20NNYP77E0S2R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B015J4NK1C,Organic,Parent,,Laundry,COTC Fabric Conditioner,Fabric Conditioner,,,,non-Retailer Core of the Core,Core of the Core,TRUE,0,4f9947fa-04da-1812-4e54-4fb074cd45d0
1/31/2019,OCADO,5.00015E+12,14880011,Colman's,Foods,Savoury,Colman's  Cheddar Cheese Sauce Mix 40g,1/1/2019,1,yuck,Horrible.,0,Unilever Global,UK,,,,Organic,Parent,,Savoury,Recipe Mix,Recipe Mix,,,,non-Retailer Core of the Core,Core of the Core,FALSE,0,924c26e8-0498-b5e7-e436-60961544caa8
2/1/2019,AMAZONPRIMEPANTRY,8.71256E+12,B014DFQ5VA,Lynx,Personal Care,Skin Cleansing,Lynx  Black Shower Gel 400ml,1/2/2019,5,a great product,a great buy,0,Unilever Global,UK,,,http://www.amazon.co.uk//gp/customer-reviews/RBLLS3B7B54QF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014DFQ5VA,Organic,Child,,Skin Cleansing,Shower General,Shower General,,,,Retailer Core of the Core,Core of the Core,TRUE,0,3458dcd8-0fce-4cee-383e-e9652d133b17
