,review_date,review_rating,review_title,review_text,verified_purchase
37,1/1/2019,5,Great.,A great deal on treseme shampoo giving a long lasting supply so you dont need to keep buying more and very good price.,True
38,1/14/2019,5,"As described, quick delivery",Happy with item,True
39,1/1/2019,5,Dove Mens + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",True
40,1/2/2019,5,Lenor,Great value,True
41,1/4/2019,5,Great price delivered to your door,Love this comfort,True
42,1/1/2019,1,yuck,Horrible.,False
43,1/2/2019,5,a great product,a great buy,True
44,1/4/2019,3,"Love the design of the container but it is heavily perfumed, not for me!","Love the container, easy to pour, but am refilling with A. Nother automatic liquid in future as it is very thick and gloopy (hard to be economical) and it is so scented you smell like it when wearing what you washed (which some may love but I do not!) -after 3 rinses!",True
45,1/8/2019,5,Great for darks,Washes sharks well,True
46,1/27/2019,5,excellent,excellent,True
47,1/6/2019,5,Good,Thank you Im very happy,True
48,1/2/2019,5,Christmas smellies,Good pleasant smelling deoderant boys will love it at christmas.,True
49,1/2/2019,4,Good shampoo,delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,True
50,1/2/2019,5,Best Make-up remover product,"Have used a lot of make-up brands and in the past bought their more expensive make-up remover products, but none have ever removed mascara, eye-shadow, foundation bases etc as gently and as well as Simple Cleansing Lotion. Its consistency is not runny, you have to squeeze the bottle appropriately onto the cotton wool, which is ideal for controlling how much is dispensed. Also great for tidying up eyeliner or mascara errors when applied sparsely on a cotton wool bud. Always keep this now in my bathroom cabinet. Why pay more?",False
51,1/2/2019,5,can't beat it,not sure why the big jar costs more than double this size though!,False
52,1/2/2019,5,what a bargain,"Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",True
53,1/2/2019,5,Great,"For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",True
54,1/1/2019,5,Lovely scent,"Great buy, smells gorgeous",True
55,1/2/2019,5,what a bargain,"Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",True
56,1/1/2019,5,Lovely scent,"Great buy, smells gorgeous",True
57,1/2/2019,5,Great,"For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",True
58,1/2/2019,5,Texture,Texture liked.used for bath/shower,True
59,1/14/2019,5,super buy,shared with family,True
60,1/6/2019,5,We love the smell,We love it and even better when its on a deal,True
61,1/4/2019,5,Good seller,Great product!,True
62,1/1/2019,4,Not as advertised,"Bought items to give as gifts, it was advertised as Dove Moisturising Deeply Nourishing Body Wash but I received Dove idratante bagnodoccia di belleza, a language I cannot read. Even has a less distinct fragrance.",True
63,1/2/2019,5,Christmas smellies,Good pleasant smelling deoderant boys will love it at christmas.,True
64,1/2/2019,4,"Good price, good product","Good price and nice smell, not overpowering. Doesnt leave white powdery mess like some anti perspirents do. Happy.",True
65,1/1/2019,5,Great.,A great deal on treseme shampoo giving a long lasting supply so you dont need to keep buying more and very good price.,True
66,1/2/2019,4,Good shampoo,delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,True
67,1/1/2019,5,Good buy,"Good wipes, good buy",True
68,1/2/2019,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",True
69,1/2/2019,5,a great product,a great buy,True
70,1/1/2019,5,"Smells great, misses well happy",Nice fragrance and it seems to last on the clothes.,True
71,1/1/2019,5,"Smells great, misses well happy",Nice fragrance and it seems to last on the clothes.,True
72,1/1/2019,5,"Smells great, misses well happy",Nice fragrance and it seems to last on the clothes.,True
73,1/1/2019,5,Dove Mens + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",True
74,1/2/2019,4,Vitamin B12.,Excellent,True
75,1/3/2019,5,Leaves coloured hair shiny!,"I've been Using tresemme products for years. Previously the regular heat protection but after being recommended this one for colour treated hair gave it a go and Ive not looked back! Leaves my hair with a lovely shine, ive got dyed red hair so it can be hard to keep looking healthy. Seems to do a Good job with heat protection too. I only dry my hair, no straighteners or tongs but seems to keep the damage away",False
76,1/3/2019,5,Great Value,So much cheaper than in Boots. Great value!!!,True
77,1/3/2019,2,Nope,"I like the blue version but this is such an overpowering, awful smell it had to be binned.",False
78,1/3/2019,5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True
79,1/3/2019,5,Comfort softener,Excellent value and you don't hav to carry it,True
80,1/3/2019,5,Price,Washing,True
81,1/3/2019,5,Comfort softener,Excellent value and you don't hav to carry it,True
82,1/3/2019,5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True
83,1/3/2019,5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True
84,1/3/2019,5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True
85,1/3/2019,5,Best washing liquid,Lovely fresh smell,True
86,1/3/2019,5,happy,great item,True
87,1/3/2019,5,Noodle tastic,Whats not to like noodles that taste like spare ribs,True
88,1/3/2019,5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True
89,1/3/2019,5,Great Value,So much cheaper than in Boots. Great value!!!,True
90,1/3/2019,5,Good if you have sensitive skin,"This is a good deodorant if you have easily irritated skin. It's like Dove soap in that it doesn't seem to irritate or dry out skin. I've used Dove soaps for quite a long time and this is certainly something which they are good for, this seems to be as good as all of them. It's main selling point, beyond being an effective 24 hour deodorant, is that it is not prone to marking your clothes. It certainly seems to work as far as that goes too, though we haven't been able to test on every single colour. Good though. Recommended.",False
91,1/3/2019,5,Price,Washing,True
92,1/3/2019,5,The real dove not a copy.,Great body wash. Cheap and fast delivery,True
93,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False
94,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False
95,1/4/2019,1,Angry and useless product,"Not even worth one star. Bring out a lot of white stuff, had high expectations but this product is a total failure and waste.",True
96,1/4/2019,5,Sure men,Bought this for my step dad,True
97,1/4/2019,5,Lynx effect? Definitely depends on the person,Love this on my OH. It smells so good on him but I hated it for years and still do on everyone else,True
98,1/4/2019,5,Good price,Great gift,True
99,1/4/2019,5,classic and the best,This is a classic and you know when its Hellmans Mayo. Cap stays so much cleaner than the jar. Tastes great with EVERYTHING!,False
100,1/4/2019,5,Cool,Cool,True
101,1/4/2019,5,Good seller,Great product!,True
102,1/4/2019,5,Cocoa Butter Skin,Absolutely great moistures for dry skin. Can complain. Its smells great of the skin if you like that coca butter smell.,True
103,1/4/2019,5,Persil combo buy,Great package buy,True
104,1/4/2019,5,Good price,Great gift,True
105,1/4/2019,5,Lynx effect? Definitely depends on the person,Love this on my OH. It smells so good on him but I hated it for years and still do on everyone else,True
106,1/4/2019,5,Invisible and smell lovely,Works well and truly invisible,True
107,1/4/2019,1,Angry and useless product,"Not even worth one star. Bring out a lot of white stuff, had high expectations but this product is a total failure and waste.",True
108,1/5/2019,3,Well priced,Nice and cost effective,True
109,1/5/2019,5,Great,Great,True
110,1/5/2019,5,Great,Does exactly what it says my kitchen sink is always getting blocked and since I have put this down it has not been blocked for the last 2 months,True
111,1/16/2019,4,Pleasant scent,"This is my favourite scent from the intense range, smells lovely and lasts ages on my clothes. I do use more than the recommended amount otherwise the scent isnt very strong, so it definitely doesnt do 64 washes, probably half that.",False
112,1/5/2019,5,my favourite detergent,I find these to be the best for my laundry and a part of that includes only using one - not over dosing like I do with liquid or powders. smells great and washes well.,False
113,1/5/2019,5,gorgeous,And under 150 calories for a really big portion,False
114,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False
115,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False
116,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False
117,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False
118,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False
119,1/6/2019,4,A good product,The cream is very easy to apply and feels extremly cooling. It doesnt dry with any kind of sticky feeling to it. There is very little or no scent to it so the fact the the frangrance is fairly neutral is good. The cream spread and soaks in very easily [This review was collected as part of a promotion.],False
120,1/4/2019,5,Beautiful product,"Execellent product, made my skin feel silky smooth and extremely hydrated. Used it for a couple of weeks and my skin felt healthier, more hydrated and overall looked better. Would definitely recommend this product to a friend. [This review was collected as part of a promotion.]",False
121,1/5/2019,4,"Smooth, clear skin","This cream is light, odourless and leaves the skin feeling genuinely smooth, supple and refreshed. I use it as part of my nightly routine - applying it when going to bed after washing and drying my face. It is light enough not to clog the pores or feel sticky on the face, and in the morning my face always feels smooth and replenished. I have also tried using this cream during the daytime and, while it has all the benefits described above, it\u2019s not long-lasting enough in terms of the hydration it gives, meaning you often feel the need to reapply after a few hours. All in all a great overnight moisturiser if you have sensitive skin - it\u2019s unscented and it\u2019s really gentle on sore patches. [This review was collected as part of a promotion.]",False
122,1/5/2019,5,Fresh and Clean,Fresh and clean. Reliable delivery,True
123,1/5/2019,5,Great,Does exactly what it says my kitchen sink is always getting blocked and since I have put this down it has not been blocked for the last 2 months,True
124,1/5/2019,5,Great,Great,True
125,1/5/2019,3,Well priced,Nice and cost effective,True
126,1/5/2019,5,Clean and nice smelling,"Great combination, started using when my now 3yo was born and am still using it",True
127,1/5/2019,5,Came really quickly,Nice and fresh smelling products,True
128,1/5/2019,5,A perfect winter drink,"We all crave things that transport us back to more innocent times. For me Bovril is one of those things, from the gooey unctuousness of the tar black bovril overflowing from the spoon to the ""ding ding ding"" as I stir it in hot water to make it dissolve and the earthy, beefy smell with hints of celery and goodness knows what else. Sometimes you can get alcohol fatigue so Bovril is a great alternative to a nightcap or even mug of tea. I even go so far as to dissolve a pat of butter in it too for extra richness and within an hour I'm pretty much knocked out and sleep soundly until morning, warm and comforted. This pack will last me a long time I am sure, certainly 2 winters.",True
129,1/5/2019,5,Lovely conditioner,"Lovely, but can be bought cheaper in home bargains !",True
130,1/5/2019,1,Item damaged,Item was damaged and unable to pour without spillage.. have transferred to another bottle as unable to wait for replacement.,True
131,1/5/2019,5,Smell vey good.,Good price.,True
132,1/5/2019,1,Item damaged,Item was damaged and unable to pour without spillage.. have transferred to another bottle as unable to wait for replacement.,True
133,1/5/2019,5,Smell vey good.,Good price.,True
134,1/5/2019,5,Lovely conditioner,"Lovely, but can be bought cheaper in home bargains !",True
135,1/5/2019,5,Good price.,It came very fast.,True
136,1/5/2019,5,Good price.,It came very fast.,True
137,1/5/2019,5,Good price.,It came very fast.,True
138,1/5/2019,5,Good price.,It came very fast.,True
139,1/5/2019,5,Good price.,It came very fast.,True
140,1/6/2019,5,WHERE HAS IT GONE???,Hi Simple!This is my absolute must-have facial moisturiser and now I cannot find it in UK stores anywhere. Have you discontinued this product?! Please don't!,False
141,1/6/2019,1,new formula makes me constantly sneeze,Please go back to the old capsules - these new ones make our household suffer a terrible allergic reaction - constant hay fever!,False
142,1/6/2019,4,great smelling softener,Never usually use laundry softener but was very pleasantly surprised by the results with this product. Clothes smelt great and the smell lasted despite the childrens best efforts! And the clothes came out much softer. Think I am converted!,False
143,2/3/2019,5,Prefer glass jar,I am a marmite lover. I have switched back to the glass jar because 1. marmite isn't the right consistency to be squeezed and 2. the glass jar can be recycled.,False
144,1/6/2019,5,Great,Great,True
145,1/6/2019,5,Good,Thank you,True
146,1/6/2019,5,Good and has very good smelling clothes,I got this and its be a great buy. Dont have to put much into wash and clean clothes at end of was the fragrance last long time too,True
147,2/4/2019,5,Good for sensitive skin,"I had been lured by all the enticing fragrances on other conditioners but noticed that my eyes would smart and my kids would ask why I seemed to be squinting my eyes. I'm now back to using Comfort Pure as I used it before with no reactions. Smells good, softens clothes, can't complain!",False
148,1/6/2019,5,"Strong, but pleasant, smell.","Gives a good result - the fragrance is very strong though and it lasts a long time. I really like it but if you dont, you wont really be able to still use the product as there is no avoiding it.",False
149,1/6/2019,5,"Strong, but pleasant, smell.","Gives a good result - the fragrance is very strong though and it lasts a long time. I really like it but if you dont, you wont really be able to still use the product as there is no avoiding it.",False
150,1/6/2019,5,"Strong, but pleasant, smell.","Gives a good result - the fragrance is very strong though and it lasts a long time. I really like it but if you dont, you wont really be able to still use the product as there is no avoiding it.",False
151,1/6/2019,5,Great,Great,True
152,1/6/2019,5,Very good,Good,True
153,1/6/2019,5,We love the smell,We love it and even better when its on a deal,True
154,1/7/2019,5,Excellent value,Good size spray,True
155,1/6/2019,5,A bargain price for the only shampoo I use,The price of this bulk pack is less than buying the items individually from somewhere else. I won't use any other shampoo because they tend to dry my hair and I don't like using a lot of chemicals. This product is perfect as it contains nothing and keeps me dandruff free. Even anti-dandruff shampoo doesn't always work I've found in the past.,True
156,2/5/2019,5,Stock cubes,Like to make my own soups & casseroles. This product does very well for that.,True
157,1/7/2019,5,Excellent value,Good size spray,True
158,1/7/2019,5,tasty and low calories,The best ice cream ever,False
159,1/7/2019,5,Excellent shampoo,I live in an extremely hard water area half the year. As soon as I'm here my hair becomes dry and the scalp sensitive...this is a great shampoo! Both my husband and I are a completely satisfied.,False
160,1/8/2019,5,Easy to use,Easy to use. I will recommend it if you want to get all glam up to go out somewhere this is the product to use,True
161,1/7/2019,1,Dissatisfied,Disappointed shows big conditioner but small arrived,True
162,1/7/2019,5,Good price,We all know how this works,True
163,1/7/2019,5,Good price,We all know how this works,True
164,1/7/2019,3,Price is good,Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,True
165,1/7/2019,3,Price is good,Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,True
166,1/7/2019,3,Price is good,Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,True
167,1/7/2019,3,Price is good,Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,True
168,1/7/2019,3,Price is good,Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,True
169,1/8/2019,5,Good value,I would recommend - good value,True
170,1/8/2019,5,None,I will be buying again thank,True
171,1/8/2019,5,It is Lynx,What more is there to say,True
172,1/8/2019,5,Refreshing,Always been a fan of dove products. Antiperspirant effect lasts longer than any other product I've ever used before. Really gentle on skin and keeps me fresh all day long.,True
173,1/8/2019,5,Good,As expected - repeat purchase,True
174,1/8/2019,5,Value for money,Excellent value for money,True
175,1/11/2019,5,Good value,Excellent cleaning. Good value.,True
176,1/8/2019,5,The best antiperspirant I've ever used,Very happy with it,True
177,1/8/2019,5,It is Lynx,What more is there to say,True
178,1/8/2019,5,Excellent value,Excellent value,True
179,1/8/2019,5,Good value,I would recommend - good value,True
180,1/8/2019,5,Good,As expected - repeat purchase,True
181,1/8/2019,5,Refreshing,Always been a fan of dove products. Antiperspirant effect lasts longer than any other product I've ever used before. Really gentle on skin and keeps me fresh all day long.,True
182,1/8/2019,5,None,I will be buying again thank,True
183,1/8/2019,5,Will certainly last a while,Great Value shampoo,False
184,1/8/2019,5,Great deal from amazon market place,Exactly wat it says on the box but for an amazon deal so less money spent!,True
185,1/8/2019,1,Not as expected. Better to buy in store.,Ive both exact a similar 5 litre one from Costco before which thick and smelt lovely similar to regular sized ones from the supermarkets so I dont think large quantity is the issue here. This one from Amazon is very runny as if its been diluted and doesnt smell or soften clothes same. This may be fake Im thinking. Really curious if bad batch or if amazon is not sourcing genuine product. Very baffled.,True
186,1/8/2019,5,Love this,Amazing offer price. Couldn't resist.,True
187,1/8/2019,1,Not as expected. Better to buy in store.,Ive both exact a similar 5 litre one from Costco before which thick and smelt lovely similar to regular sized ones from the supermarkets so I dont think large quantity is the issue here. This one from Amazon is very runny as if its been diluted and doesnt smell or soften clothes same. This may be fake Im thinking. Really curious if bad batch or if amazon is not sourcing genuine product. Very baffled.,True
188,1/8/2019,5,Love this,Amazing offer price. Couldn't resist.,True
189,1/9/2019,1,Best handwash,I have hands that are really dry and bleed due to eczema and this is the only handwash that dosent dry my hands out more and make them bleed.,False
190,2/7/2019,5,Does the job!,"No issues, does what it says",True
191,2/7/2019,5,Stock item in my stock cupboard,Need I say more. Use them all the time for soups and risottos.,True
192,2/7/2019,5,Does not leave white marks,I simply love this deodrant. The scent is great - fresh and sporty. I have been using it for 3 weeks now and never had problems. What is more it never leaves white marks on the clothes.,False
193,2/7/2019,5,Great flavour,Thicken gravy really well and add a wonderful flavour,False
194,1/9/2019,5,Great,Amazing and great price too,True
195,1/9/2019,4,Worth the money,"Smells great, easy one handed application",True
196,1/9/2019,5,Good value,Very good value I would recommend.,True
197,1/9/2019,5,Great smell,Body deodorant we love the smell and great value for money.,False
198,1/9/2019,5,The only floor cleaner I use,The only floor cleaner I use. It smells good and my home feels so refreshed using it,True
199,1/11/2019,5,All good,Btilliant buy,True
200,1/16/2019,5,As in pic.,Value for money,True
201,1/22/2019,5,Smells fabulous,"All fabric conditioners work more or less the same, but this one smells divine and it lasts too.",True
202,1/11/2019,2,All Day Fresh,Couldn't find any in shops so bought on-line. Thought it was fake branding because it smelled similar but not quite Africa. Poorer product since the new labelling!,False
203,1/19/2019,2,Blocking nozzles,"Been using this for a year, very happy. Last 2 cans the nozzles have blocked within a week. Cant clear them with hot water - bit disappointed",False
204,1/22/2019,5,Addicted,If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,False
205,1/22/2019,1,bottle design,"I have been buying this for years. The contents are good. However, the bottle itself is awful. Three times it has cut right under my fingernails when opening. Also, you can't turn it upside down as it approaches empty due again to the ridiculous design of this bottle.",False
206,1/29/2019,5,Simply brilliant,"Pleasant to use with very little scent, which was what I wanted. These shower gels are brilliant! No nasty chemical smells and super clean design, great for the whole family, young and old. Simple products are skin friendly, meaning no perfumes, no colours. I can honestly say these are the only products that don't leave me with skin irritation. I have very sensitive, problematic skin and am prone to dermatitis. This stuff could be used as a face wash, it's so gentle. [This review was collected as part of a promotion.]",False
207,1/22/2019,5,Addicted,If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,False
208,1/18/2019,5,Hydrating wipes,"These wipes are great for getting the most stubborn make up off, I love the fact the wipes are infused with minerals and plant extracts, that when using then,ther is no irritation or stinging, and my face feels smooth an refreshed [This review was collected as part of a promotion.]",False
209,1/18/2019,5,Refreshing feel and great quality,Great quality wipes that are strong to use and don't tear apart like other wipes. A must buy over other brand names and I'll be purchasing more in the near future. Very satisfied with simples product line. [This review was collected as part of a promotion.],False
210,1/13/2019,5,Clean great and don\u2019t have a strong smell,I love these face wipes as they do at great job at removing make up and left my skin feeling squeaky clean! Added bonus was the absence of a strong smell or a feeling that some product was left over on my skin. Love them. [This review was collected as part of a promotion.],False
211,1/18/2019,4,Great for getting make up off,"I have sensitive skin, but these worked really well. Took my make up off easily and didn\u2019t irritate my skin. Felt really refreshing. I would definitely purchase these again for future use and would recommend this product. [This review was collected as part of a promotion.]",False
212,1/17/2019,5,Works well,Been using for a few months Really pleased how they work Get make up off very easily and smell nice Not to wet so leave skin moisturised and silky clean No irritation Defiently my new favourite make up remover [This review was collected as part of a promotion.],False
213,1/17/2019,4,Lovely soft skin,"Tried and tested this skin quenching night cream,it's of a very light soft texture and when applied at night soaks into your skin making it fell so soft. Would recommend this product to my friends and family as it works wonders . [This review was collected as part of a promotion.]",False
214,1/14/2019,4,Refreshing,Happy with this product. Very light on the skin and not sensitive. I would recommend it. Can apply as much as you wish during the day and it doesn\u2019t feel bad. Comes in an easy to use plastic tub with an easy screw top [This review was collected as part of a promotion.],False
215,1/10/2019,4,Light and moisturising,"This is a great water based moisturiser, that is light on your skin and gives you a dewy complexion. Since I have been using this product twice a day, I have noticed a significant improvement in my skins elasticity and skin tone. [This review was collected as part of a promotion.]",False
216,1/9/2019,5,Another great product.,"This is another great product from Simple, so don't ever stop making it!! Please!!",False
217,1/9/2019,5,Pot Noodle Sticky Rib 90g,good flavor,True
218,1/9/2019,5,Good value,Very good value I would recommend.,True
219,1/9/2019,5,Great,Amazing and great price too,True
220,1/9/2019,5,great,great,True
221,1/9/2019,4,Worth the money,"Smells great, easy one handed application",True
222,1/9/2019,5,Surpreme,No question as it says on the bottle,True
223,1/9/2019,5,Surpreme,No question as it says on the bottle,True
224,1/9/2019,4,Sunshiny days !!,Very good value. My favourite conditioner.,True
225,1/9/2019,5,beautiful smell,lovely smell,True
226,1/9/2019,4,Sunshiny days !!,Very good value. My favourite conditioner.,True
227,1/9/2019,5,beautiful smell,lovely smell,True
228,2/8/2019,3,Hard to spray with the nozzle,"Love the product, however its hard to spray. Would recommend though.",True
229,1/10/2019,5,Lovely subtle scent,Got this to try and wasnt disappointed. Its a little less thick than some other conditioners on the market but this makes it go further and also I notice the tray doesnt get as mucky afterwards. The clothes were soft and had a lovely subtle scent - still using the large bottle so its going a long way!,False
230,1/10/2019,5,Lovely fragrance and good value,A little goes a long way,False
231,1/10/2019,2,Uncertain,"Not convinced that smell matches original, seems less thick than previous. Why does description refer to batteries? Other reviews show as Verified Purchase - but none have names?",True
232,1/10/2019,5,Great!,This is such a great soap. Me and my wife loves it. It actually moisturizes our skin everytime we used it.,True
233,1/10/2019,5,Love these,"Love these soaps, cleans well and keeps your hand moist. Good for people with eczema",True
234,1/10/2019,5,Definitely worth every penny,Definitely worth the money! I do laundry very often and these lasted me for over a month! Definitely will buy again.,True
235,1/10/2019,5,Great smell and fast delivery,"Arrived super fast. Two good sized bottles. I dont know why some people are moaning in the reviews about the size of the fabric softener- its ultra concentrated and so you dont need to use a full cap, it will last you long enough. Fabric softener also smells great.",True
236,1/10/2019,5,Comfort,Great product very happy with it,True
237,1/10/2019,5,Good,Great price at £6 when i purchased. If it was still this price i would subscribe and buy more.,True
238,1/10/2019,5,Bargain,"Lovely smell, can pour into smaller bottles to make using more manageable. Can't beat it for £5!",True
239,1/10/2019,5,Comfort,Great product very happy with it,True
240,1/10/2019,5,Good,Great price at £6 when i purchased. If it was still this price i would subscribe and buy more.,True
